date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:02:59	45830/45830	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:57%20GMT	https://daddylive.fun/stream/stream-86.php	F:/sports/dady/daddylive.fun/stream/stream-86.html	(from https://daddylive.fun/)
20:02:59	45829/45829	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:58%20GMT	https://daddylive.fun/stream/stream-163.php	F:/sports/dady/daddylive.fun/stream/stream-163.html	(from https://daddylive.fun/)
20:03:00	46271/46271	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:58%20GMT	https://daddylive.fun/stream/stream-164.php	F:/sports/dady/daddylive.fun/stream/stream-164.html	(from https://daddylive.fun/)
20:03:00	45829/45829	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:58%20GMT	https://daddylive.fun/stream/stream-165.php	F:/sports/dady/daddylive.fun/stream/stream-165.html	(from https://daddylive.fun/)
20:03:00	46271/46271	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:58%20GMT	https://daddylive.fun/stream/stream-166.php	F:/sports/dady/daddylive.fun/stream/stream-166.html	(from https://daddylive.fun/)
20:03:00	46270/46270	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:59%20GMT	https://daddylive.fun/stream/stream-167.php	F:/sports/dady/daddylive.fun/stream/stream-167.html	(from https://daddylive.fun/)
20:03:01	45829/45829	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:59%20GMT	https://daddylive.fun/stream/stream-168.php	F:/sports/dady/daddylive.fun/stream/stream-168.html	(from https://daddylive.fun/)
20:03:01	46271/46271	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:59%20GMT	https://daddylive.fun/stream/stream-169.php	F:/sports/dady/daddylive.fun/stream/stream-169.html	(from https://daddylive.fun/)
20:03:01	45829/45829	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:59%20GMT	https://daddylive.fun/stream/stream-170.php	F:/sports/dady/daddylive.fun/stream/stream-170.html	(from https://daddylive.fun/)
20:03:01	45829/45829	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:33:00%20GMT	https://daddylive.fun/stream/stream-171.php	F:/sports/dady/daddylive.fun/stream/stream-171.html	(from https://daddylive.fun/)
20:03:02	45829/45829	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:33:00%20GMT	https://daddylive.fun/stream/stream-172.php	F:/sports/dady/daddylive.fun/stream/stream-172.html	(from https://daddylive.fun/)
20:03:02	46270/46270	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:33:00%20GMT	https://daddylive.fun/stream/stream-173.php	F:/sports/dady/daddylive.fun/stream/stream-173.html	(from https://daddylive.fun/)
20:03:02	45829/45829	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:33:01%20GMT	https://daddylive.fun/stream/stream-174.php	F:/sports/dady/daddylive.fun/stream/stream-174.html	(from https://daddylive.fun/)
20:03:02	46270/46270	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:33:01%20GMT	https://daddylive.fun/stream/stream-175.php	F:/sports/dady/daddylive.fun/stream/stream-175.html	(from https://daddylive.fun/)
20:03:03	45829/45829	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:33:01%20GMT	https://daddylive.fun/stream/stream-176.php	F:/sports/dady/daddylive.fun/stream/stream-176.html	(from https://daddylive.fun/)
20:03:03	46271/46271	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:33:01%20GMT	https://daddylive.fun/stream/stream-177.php	F:/sports/dady/daddylive.fun/stream/stream-177.html	(from https://daddylive.fun/)
20:03:03	46271/46271	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:33:02%20GMT	https://daddylive.fun/stream/stream-178.php	F:/sports/dady/daddylive.fun/stream/stream-178.html	(from https://daddylive.fun/)
20:03:04	46270/46270	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:33:02%20GMT	https://daddylive.fun/stream/stream-179.php	F:/sports/dady/daddylive.fun/stream/stream-179.html	(from https://daddylive.fun/)
